review_id,book_id,title,author_id,name,user_id,rating,review_text,language,n_votes,date_added,review_len_words
7fcd8d0a357b171b2b6d9ddb0ba4e6f6,8309530,Dance With Me!,91762,Megan E. Bryant,753746d5d26fea030b33299b34ea1299,4,Strawberry Shortcake for a new generation. Sigh.,unknown,0,Sun Jul 15 19:14:28 -0700 2012,7
b0bc505871da92a6cbd6d765152adb98,16001443,"All In (The Blackstone Affair, #2)",4930653,Raine Miller,c84807d576e92c3746180ec064fbd440,3,"This second installment of this series was nice. I liked that it was from Ethan's point of view and you get to see a lot more of his vulnerabilities. Looking forward to the final installment, but I do hope the author would consider Ivan and Gabby as a stand-alone series!",eng,0,Tue Sep 11 18:38:03 -0700 2012,50
eb160a89eb1df19e358610c9afe05a02,11328971,"House of Mystery, Volume 7: Conception",92149,Matthew Sturges,37b3e60b4e4152c580fd798d405150ff,4,"As with many of the other volumes, the core story here is pretty decompressed due to the substories within and the story ends right in the middle, but this is nonetheless an enjoyable continuation of the House's story that is clearly moving toward conclusion. The Annual at the end was only so-so.",eng,0,Mon Sep 03 22:22:24 -0700 2012,52
415f0b833820238991ae5b9968b11308,15984353,"Captain Marvel, Volume 1: In Pursuit of Flight",16587,Kelly Sue DeConnick,f18e9a17737c79e96b197362451c1610,3,"Can I just get a comic about the Banshees? Not that Carol Danvers isn't great, but I would love to see more of them.",eng,0,Sat May 30 08:07:47 -0700 2015,24
2bdcffe3761dbc1ff28c5c7b1ea0bfad,1405053,"Twilight Phantasies (Wings in the Night, #1)",17064,Maggie Shayne,a2f38c2c607f53e5c46b9b4271c4c5a9,4,"This was pretty good. Your typical paranormal romance. Girl falls for vamp, they get their signals crossed more than once, etc. The storyline was a little different and the characters are really likeable. Definitely worth the read and I will be looking for more by Maggie Shayne.",unknown,0,Wed Apr 02 13:01:32 -0700 2008,47
bd089c40dc456e2a1f62714f00f57db9,12716010,"Rapture (Fallen, #4)",2905297,Lauren Kate,2138f2f7e5d766220af5a36e7dc0c9e1,5,Amazing end to the series. So happy that Daniel and Luce could finally be together! :),eng,0,Sun Aug 19 04:11:11 -0700 2012,16
2ea179cb67c285737630b6c110c994bd,1820790,Born Standing Up: A Comic's Life,7103,Steve Martin,4f2448c5f8c0cc62f91f38bea5eb48a4,3,"I had a hard time getting into this, but turned out to be entertaining. I'm glad I listened to this and I'm sorry I got my dad the actual book instead of audio for christmas. This is def a book to listen to as Steve Martin actually reads the book. It makes all the difference when you hear him do some of his comedy bits.",eng,0,Mon Jun 09 13:24:35 -0700 2008,65
073f50e7aedb879f2e72e16f81493fed,16001443,"All In (The Blackstone Affair, #2)",4930653,Raine Miller,f7be66ec22a74a7d929e4152a6373285,5,Wowowow... This book was so intense and emotional..... I just finished it and I am balling... The love and emotion just come off the page.... I don't know what else to say other than this is a fantastic work of art!!!!!!!!,eng,0,Wed Oct 03 08:57:05 -0700 2012,41
ca2313278e8c61fdeda545e89e388350,25823950,Shifter: City of Wolves,14134947,Avery Burch,c727fdad4a70ee872eda823553e3f096,1,"At 97% of book read Ihad to stop reading. Couldn't take it anymore  It began in a good way, but lots of topics and non sense bored me to no end. Good idea about the shifters purge, though. And very nice of the author to offer an ARC to me. Sadly, this book wasn't my cup of tea",unknown,1,Sun Aug 09 14:56:32 -0700 2015,58
8c8d8a09a00ece7c4b70ca2da6f3368b,25004064,Three Imaginary Boys,3270373,J.T. Holden,9a569d5d9e37d7451d660426296d48a2,4,"I really enjoyed this novel. It was a fun, easy read that I was throughly entertained with. For me, it was a quick read, but it didn't feel rushed or inconclusive. I loved the plot, it was really unique and unlike anything I've ever read, which is always amazing to find in a book. It's so hard to keep my full attention with certain books, but this book I didn't have a problem with that.  Drew and Logan are such interesting characters. Both so different, but alike in certain aspects. It was fun to see such different characters side by side. I really connected with some traits of both characters, which I enjoyed. All in all, it was a great book! I really recommend it to readers.  I received this book in exchange for my honest review.",en-us,1,Wed Oct 14 16:47:49 -0700 2015,137
